time,seq,rtt,delay,jitter,loss
1776173289.493714,599,,,,1
1776173289.493714,600,,,,1
1776173289.493714,601,,,,1
1776173289.493714,602,,,,1
1776173289.493714,603,,,,1
1776173289.999345,604,,,,1
1776173289.999345,605,,,,1
1776173289.999345,606,,,,1
1776173289.999345,607,,,,1
1776173289.999345,608,,,,1
1776173289.999345,609,,,,1
1776173289.999345,610,,,,1
1776173289.999345,611,,,,1
1776173289.999345,612,,,,1
1776173289.999345,613,,,,1
1776173289.999345,614,,,,1
1776173289.999345,615,,,,1
1776173289.999345,616,,,,1
1776173289.999345,617,,,,1
1776173289.999345,618,,,,1
1776173289.999345,619,,,,1
1776173289.999345,620,,,,1
1776173289.999345,621,,,,1
1776173290.513422,622,,,,1
1776173290.513422,623,,,,1
1776173290.513422,624,,,,1
1776173290.513422,625,,,,1
1776173290.513422,626,,,,1
1776173290.513422,627,,,,1
1776173290.513422,628,,,,1
1776173290.513422,629,,,,1
1776173290.513422,630,,,,1
1776173290.513422,631,,,,1
1776173290.513422,632,,,,1
1776173290.513422,633,,,,1
1776173290.513422,634,,,,1
1776173290.513422,635,,,,1
1776173290.513422,636,,,,1
1776173290.513422,637,,,,1
1776173290.513422,638,,,,1
1776173290.513422,639,,,,1
1776173290.513422,640,,,,1
1776173290.513422,641,,,,1
1776173291.023571,642,,,,1
1776173291.023571,643,,,,1
1776173291.023571,644,,,,1
1776173291.023571,645,,,,1
1776173291.023571,646,,,,1
1776173291.023571,647,,,,1
1776173291.023571,648,,,,1
1776173291.023571,649,,,,1
1776173291.023571,650,,,,1
1776173291.023571,651,,,,1
1776173291.023571,652,,,,1
1776173291.023571,653,,,,1
1776173291.023571,654,,,,1
1776173291.023571,655,,,,1
1776173291.023571,656,,,,1
1776173291.023571,657,,,,1
1776173291.023571,658,,,,1
1776173291.023571,659,,,,1
1776173291.023571,660,,,,1
1776173291.023571,661,,,,1
1776173291.023571,662,,,,1
1776173291.526677,663,,,,1
1776173291.526677,664,,,,1
1776173291.526677,665,,,,1
1776173291.526677,666,,,,1
1776173291.526677,667,,,,1
1776173291.526677,668,,,,1
1776173291.526677,669,,,,1
1776173291.526677,670,,,,1
1776173291.526677,671,,,,1
1776173291.526677,672,,,,1
1776173291.526677,673,,,,1
1776173291.526677,674,,,,1
1776173291.526677,675,,,,1
1776173291.526677,676,,,,1
1776173291.526677,677,,,,1
1776173291.526677,678,,,,1
1776173291.526677,679,,,,1
1776173291.526677,680,,,,1
1776173291.526677,681,,,,1
1776173292.034280,682,,,,1
1776173292.034280,683,,,,1
1776173292.034280,684,,,,1
1776173292.034280,685,,,,1
1776173292.034280,686,,,,1
1776173292.034280,687,,,,1
1776173292.034280,688,,,,1
1776173292.034280,689,,,,1
1776173292.034280,690,,,,1
1776173292.034280,691,,,,1
1776173292.034280,692,,,,1
1776173292.034280,693,,,,1
1776173292.034280,694,,,,1
1776173292.034280,695,,,,1
1776173292.034280,696,,,,1
1776173292.034280,697,,,,1
1776173292.034280,698,,,,1
1776173292.034280,699,,,,1
1776173292.034280,700,,,,1
1776173292.034280,701,,,,1
1776173292.539618,702,,,,1
1776173292.539618,703,,,,1
1776173292.539618,704,,,,1
1776173292.539618,705,,,,1
1776173292.539618,706,,,,1
1776173292.539618,707,,,,1
1776173292.539618,708,,,,1
1776173292.539618,709,,,,1
1776173292.539618,710,,,,1
1776173292.539618,711,,,,1
1776173292.539618,712,,,,1
1776173292.539618,713,,,,1
1776173292.539618,714,,,,1
1776173292.539618,715,,,,1
1776173292.539618,716,,,,1
1776173292.539618,717,,,,1
1776173292.539618,718,,,,1
1776173292.539618,719,,,,1
1776173292.539618,720,,,,1
1776173293.047682,721,,,,1
1776173293.047682,722,,,,1
1776173293.047682,723,,,,1
1776173293.047682,724,,,,1
1776173293.047682,725,,,,1
1776173293.047682,726,,,,1
1776173293.047682,727,,,,1
1776173293.047682,728,,,,1
1776173293.047682,729,,,,1
1776173293.047682,730,,,,1
1776173293.047682,731,,,,1
1776173293.047682,732,,,,1
1776173293.047682,733,,,,1
1776173293.047682,734,,,,1
1776173293.047682,735,,,,1
1776173293.047682,736,,,,1
1776173293.047682,737,,,,1
1776173293.047682,738,,,,1
1776173293.047682,739,,,,1
1776173293.047682,740,,,,1
1776173293.559056,741,,,,1
1776173293.559056,742,,,,1
1776173293.559056,743,,,,1
1776173293.559056,744,,,,1
1776173293.559056,745,,,,1
1776173293.559056,746,,,,1
1776173293.559056,747,,,,1
1776173293.559056,748,,,,1
1776173293.559056,749,,,,1
1776173293.559056,750,,,,1
1776173293.559056,751,,,,1
1776173293.559056,752,,,,1
1776173293.559056,753,,,,1
1776173293.559056,754,,,,1
1776173293.559056,755,,,,1
1776173293.559056,756,,,,1
1776173293.559056,757,,,,1
1776173293.559056,758,,,,1
1776173293.559056,759,,,,1
1776173294.065675,760,,,,1
1776173294.065675,761,,,,1
1776173294.065675,762,,,,1
1776173294.065675,763,,,,1
1776173294.065675,764,,,,1
1776173294.065675,765,,,,1
1776173294.065675,766,,,,1
1776173294.065675,767,,,,1
1776173294.065675,768,,,,1
1776173294.065675,769,,,,1
1776173294.065675,770,,,,1
1776173294.065675,771,,,,1
1776173294.065675,772,,,,1
1776173294.065675,773,,,,1
1776173294.065675,774,,,,1
1776173294.065675,775,,,,1
1776173294.065675,776,,,,1
1776173294.065675,777,,,,1
1776173294.571792,778,,,,1
1776173294.571792,779,,,,1
1776173294.571792,780,,,,1
1776173294.571792,781,,,,1
1776173294.571792,782,,,,1
1776173294.571792,783,,,,1
1776173294.571792,784,,,,1
1776173294.571792,785,,,,1
1776173294.571792,786,,,,1
1776173294.571792,787,,,,1
1776173294.571792,788,,,,1
1776173294.571792,789,,,,1
1776173294.571792,790,,,,1
1776173294.571792,791,,,,1
1776173294.571792,792,,,,1
1776173294.571792,793,,,,1
1776173294.571792,794,,,,1
1776173294.571792,795,,,,1
1776173295.087395,796,,,,1
1776173295.087395,797,,,,1
1776173295.087395,798,,,,1
1776173295.087395,799,,,,1
1776173295.087395,800,,,,1
1776173295.087395,801,,,,1
1776173295.087395,802,,,,1
1776173295.087395,803,,,,1
1776173295.087395,804,,,,1
1776173295.087395,805,,,,1
1776173295.087395,806,,,,1
1776173295.087395,807,,,,1
1776173295.087395,808,,,,1
1776173295.087395,809,,,,1
1776173295.087395,810,,,,1
1776173295.087395,811,,,,1
1776173295.087395,812,,,,1
1776173295.087395,813,,,,1
1776173295.087395,814,,,,1
1776173295.087395,815,,,,1
1776173295.087395,816,,,,1
1776173295.595276,817,,,,1
1776173295.595276,818,,,,1
1776173295.595276,819,,,,1
1776173295.595276,820,,,,1
1776173295.595276,821,,,,1
1776173295.595276,822,,,,1
1776173295.595276,823,,,,1
1776173295.595276,824,,,,1
1776173295.595276,825,,,,1
1776173295.595276,826,,,,1
1776173295.595276,827,,,,1
1776173295.595276,828,,,,1
1776173295.595276,829,,,,1
1776173295.595276,830,,,,1
1776173295.595276,831,,,,1
1776173295.595276,832,,,,1
1776173295.595276,833,,,,1
1776173295.595276,834,,,,1
1776173295.595276,835,,,,1
1776173295.595276,836,,,,1
1776173296.102799,837,,,,1
1776173296.102799,838,,,,1
1776173296.102799,839,,,,1
1776173296.102799,840,,,,1
1776173296.102799,841,,,,1
1776173296.102799,842,,,,1
1776173296.102799,843,,,,1
1776173296.102799,844,,,,1
1776173296.102799,845,,,,1
1776173296.102799,846,,,,1
1776173296.102799,847,,,,1
1776173296.102799,848,,,,1
1776173296.102799,849,,,,1
1776173296.102799,850,,,,1
1776173296.102799,851,,,,1
1776173296.102799,852,,,,1
1776173296.102799,853,,,,1
1776173296.102799,854,,,,1
1776173296.102799,855,,,,1
1776173296.604374,856,,,,1
1776173296.604374,857,,,,1
1776173296.604374,858,,,,1
1776173296.604374,859,,,,1
1776173296.604374,860,,,,1
1776173296.604374,861,,,,1
1776173296.604374,862,,,,1
1776173296.604374,863,,,,1
1776173296.604374,864,,,,1
1776173296.604374,865,,,,1
1776173296.604374,866,,,,1
1776173296.604374,867,,,,1
1776173296.604374,868,,,,1
1776173296.604374,869,,,,1
1776173296.604374,870,,,,1
1776173296.604374,871,,,,1
1776173296.604374,872,,,,1
1776173296.604374,873,,,,1
1776173297.105374,874,,,,1
1776173297.105374,875,,,,1
1776173297.105374,876,,,,1
1776173297.105374,877,,,,1
1776173297.105374,878,,,,1
1776173297.105374,879,,,,1
1776173297.105374,880,,,,1
1776173297.105374,881,,,,1
1776173297.105374,882,,,,1
1776173297.105374,883,,,,1
1776173297.105374,884,,,,1
1776173297.105374,885,,,,1
1776173297.105374,886,,,,1
1776173297.105374,887,,,,1
1776173297.105374,888,,,,1
1776173297.105374,889,,,,1
1776173297.105374,890,,,,1
1776173297.105374,891,,,,1
1776173297.105374,892,,,,1
1776173297.105374,893,,,,1
1776173297.610296,894,,,,1
1776173297.610296,895,,,,1
1776173297.610296,896,,,,1
1776173297.610296,897,,,,1
1776173297.610296,898,,,,1
1776173297.610296,899,,,,1
1776173297.610296,900,,,,1
1776173297.610296,901,,,,1
1776173297.610296,902,,,,1
1776173297.610296,903,,,,1
1776173297.610296,904,,,,1
1776173297.610296,905,,,,1
1776173297.610296,906,,,,1
1776173297.610296,907,,,,1
1776173297.610296,908,,,,1
1776173297.610296,909,,,,1
1776173297.610296,910,,,,1
