timestamp,seq,rtt,delay,jitter,predicted_prob,prediction
1776183061.167329,326,28706.220,58.724,18.429,0.0020,0
1776183061.205787,327,28713.243,38.458,20.266,0.0020,0
1776183061.268568,328,28744.220,62.781,24.323,0.0020,0
1776183061.321876,329,28766.021,53.308,9.472,0.0020,0
1776183061.369695,330,28782.538,47.820,5.489,0.0020,0
1776183061.649312,331,29031.105,279.616,231.797,0.0020,1
1776183061.877203,332,29201.834,227.891,51.725,0.0020,0
1776183062.120032,333,29387.061,242.830,14.938,0.0020,0
1776183062.488672,334,29701.568,368.639,125.810,0.0020,1
1776183062.760344,335,29914.572,271.672,96.967,0.0020,0
1776183062.978766,336,30071.757,218.423,53.249,0.0020,0
1776183063.282835,337,30315.130,304.068,85.645,0.0020,0
1776183063.306325,338,30287.831,23.491,280.578,0.0020,1
1776183063.363520,339,30320.864,57.194,33.704,0.0020,0
1776183063.413835,340,30336.027,50.315,6.880,0.0020,0
1776183063.470907,341,30361.294,57.072,6.757,0.0020,0
1776183063.523069,342,30382.985,52.162,4.910,0.0020,0
1776183063.569483,343,30397.606,46.414,5.749,0.0020,0
1776183063.635262,344,30432.066,65.780,19.366,0.0020,0
1776183063.697886,345,30470.547,62.624,3.155,0.0020,0
1776183063.742985,346,30483.495,45.099,17.525,0.0020,0
1776183063.813784,347,30533.950,70.799,25.700,0.0020,0
1776183063.867768,348,30555.476,53.983,16.816,0.0020,0
1776183063.902458,349,30556.697,34.690,19.293,0.0020,0
1776183063.944094,350,30566.557,41.636,6.946,0.0020,0
1776183064.008557,351,30600.012,64.463,22.826,0.0020,0
1776183064.062377,352,30624.892,53.820,10.643,0.0020,0
1776183064.409044,353,30946.972,346.666,292.846,0.0020,1
1776183064.571516,354,31078.410,162.472,184.194,0.0020,1
1776183064.830045,355,31316.711,258.529,96.057,0.0020,0
1776183065.014535,356,31473.880,184.490,74.039,0.0020,0
1776183065.240976,357,31669.309,226.442,41.952,0.0020,0
1776183065.493493,358,31891.183,252.517,26.075,0.0020,0
1776183065.745568,359,32112.534,252.075,0.442,0.0020,0
1776183065.960455,360,32295.543,214.887,37.187,0.0020,0
1776183066.250508,361,32550.308,290.053,75.165,0.0020,0
1776183066.448277,362,32720.725,197.769,92.283,0.0020,0
1776183066.485214,363,32737.328,36.938,160.831,0.0020,1
1776183066.540627,364,32761.993,55.412,18.474,0.0020,0
1776183066.594069,365,32784.372,53.442,1.970,0.0020,0
1776183066.650688,366,32807.507,56.620,3.177,0.0020,0
1776183066.698027,368,32801.188,47.338,9.281,0.0020,0
1776183066.753766,369,32824.764,55.740,8.401,0.0020,0
1776183066.809242,370,32848.851,55.476,0.264,0.0020,0
1776183066.844061,371,32853.070,34.819,20.657,0.0020,0
1776183066.892454,372,32870.048,48.393,13.574,0.0020,0
1776183066.922840,373,32868.722,30.386,18.007,0.0020,0
1776183066.968767,374,32883.284,45.927,15.541,0.0020,0
1776183067.032935,375,32915.277,64.168,18.241,0.0020,0
